# entities
# W3C table at http://www.whatwg.org/specs/web-apps/current-work/multipage/named-character-references.html#named-character-references
# l=lower case Latin L=upper case Latin (alpha accents) g=lower case Greek G=upper case Greek c Cyrillic lower case C Cyrillic Upper case.
# a=arrow b=blank d=diacritical mark m=music s=symbol 4=html4 5=html5 p=proposed n=not an entity X=XHTML o=ordinary char, does not need entity.
# $=currency
# desc has no entities whereas notesdoes.
# normally sorted by entity, hex, desc, categories
## categories, hex, overstrike, alpha entity,              description,                                                                 notes
o4,    0x20,    ,       ,                                  "ordinary space",                                                            "&rarr; &larr;"
nm,    0x1d178, ,       ,                                  "musical symbol end slur"
nm,    0x1d179, ,       ,                                  "musical symbol begin phrase"
nm,    0x1d17a, ,       ,                                  "musical symbol end phrase"
nm,    0x1d17b, ,       ,                                  "musical symbol combining accent"
nm,    0x1d17c, ,       ,                                  "musical symbol combining staccato"
nm,    0x1d17d, ,       ,                                  "musical symbol combining tenuto"
nm,    0x1d17e, ,       ,                                  "musical symbol combining staccatissimo"
nm,    0x1d17f, ,       ,                                  "musical symbol combining marcato"
nm,    0x1d180, ,       ,                                  "musical symbol combining marcato-staccato"
nm,    0x1d181, ,       ,                                  "musical symbol combining accent-staccato"
nm,    0x1d182, ,       ,                                  "musical symbol combining loure"
nm,    0x1d183, ,       ,                                  "musical symbol arpeggiato up"
nm,    0x1d184, ,       ,                                  "musical symbol arpeggiato down"
nm,    0x1d185, ,       ,                                  "musical symbol combining doit"
nm,    0x1d186, ,       ,                                  "musical symbol combining rip"
nm,    0x1d187, ,       ,                                  "musical symbol combining flip"
nm,    0x1d188, ,       ,                                  "musical symbol combining smear"
nm,    0x1d189, ,       ,                                  "musical symbol combining bend"
nm,    0x1d18a, ,       ,                                  "musical symbol combining double tongue"
nm,    0x1d18b, ,       ,                                  "musical symbol combining triple tongue"
nm,    0x1d18c, ,       ,                                  "musical symbol rinforzando"
nm,    0x1d18d, ,       ,                                  "musical symbol subito"
nm,    0x1d18e, ,       ,                                  "musical symbol z"
nm,    0x1d18f, ,       ,                                  "musical symbol piano"
nm,    0x1d190, ,       ,                                  "musical symbol mezzo"
nm,    0x1d191, ,       ,                                  "musical symbol forte"
nm,    0x1d192, ,       ,                                  "musical symbol crescendo"
